seed,step,position,net_worth
456,483,-1.0,10145.814570725692
456,484,-1.0,10145.29053537597
456,485,-1.0,10139.907382559712
456,486,0.0,10136.865410344944
456,487,1.0,10151.797299818081
456,488,1.0,10164.344352638927
456,489,1.0,10176.66882878824
456,490,1.0,10188.140759778044
456,491,1.0,10194.177515761008
456,492,1.0,10204.45829864607
456,493,1.0,10211.846082751666
456,494,1.0,10222.194858260073
456,495,1.0,10230.806113868643
456,496,1.0,10239.501333856915
456,497,1.0,10245.001407059823
456,498,1.0,10253.859302127903
456,499,0.0,10250.783144337265
456,500,0.0,10250.783144337265
456,501,0.0,10250.783144337265
456,502,0.0,10250.783144337265
456,503,0.0,10250.783144337265
456,504,-1.0,10253.737917036759
456,505,-1.0,10260.918444738032
456,506,-1.0,10262.068461308885
456,507,-1.0,10263.842869784005
456,508,-1.0,10265.393085994787
456,509,-1.0,10266.282181342958
456,510,0.0,10263.202296688556
456,511,1.0,10262.307253202807
456,512,1.0,10265.487666193463
456,513,1.0,10265.589200045186
456,514,1.0,10278.653207071933
456,515,1.0,10298.602178689043
456,516,1.0,10319.904096721553
456,517,1.0,10339.551551258357
456,518,1.0,10357.27445273255
456,519,1.0,10361.48467887539
456,520,0.0,10358.376233471727
456,521,0.0,10358.376233471727
456,522,0.0,10358.376233471727
456,523,-1.0,10365.081043950051
456,524,-1.0,10372.177024018105
456,525,-1.0,10377.196388722907
456,526,-1.0,10392.162443366395
456,527,-1.0,10399.671062928002
456,528,-1.0,10405.186996028093
456,529,-1.0,10417.820442814598
456,530,-1.0,10429.028055770163
456,531,-1.0,10430.00638564996
456,532,0.0,10426.877383734265
456,533,1.0,10422.387085652574
456,534,1.0,10425.292839874812
456,535,1.0,10426.052188214808
456,536,1.0,10423.845898763297
456,537,1.0,10417.813247992168
456,538,1.0,10415.353045833228
456,539,1.0,10412.621743896205
456,540,1.0,10412.219152349595
456,541,1.0,10406.285047104891
456,542,1.0,10399.319756145564
456,543,1.0,10388.92363440677
456,544,1.0,10378.266213215416
456,545,1.0,10363.636647672127
456,546,1.0,10363.35374896499
456,547,1.0,10369.240708952406
456,548,1.0,10373.176594273531
456,549,1.0,10379.075457158424
456,550,1.0,10388.542920732796
456,551,1.0,10382.33830111151
456,552,1.0,10373.548084867407
456,553,1.0,10366.967297983354
456,554,1.0,10363.369924792652
456,555,1.0,10361.135435831176
456,556,0.0,10358.027095200427
456,557,1.0,10367.912726379402
456,558,1.0,10376.663015036684
456,559,1.0,10382.307270514484
456,560,0.0,10379.19257833333
456,561,0.0,10379.19257833333
456,562,0.0,10379.19257833333
456,563,0.0,10379.19257833333
456,564,0.0,10379.19257833333
456,565,-1.0,10373.14225849376
456,566,-1.0,10372.741001668823
456,567,-1.0,10371.982255245397
456,568,-1.0,10370.504400130258
456,569,-1.0,10366.516718565696
456,570,-1.0,10361.314724661706
456,571,-1.0,10353.488566240509
456,572,-1.0,10350.617719971007
456,573,-1.0,10349.441143703969
456,574,-1.0,10356.422905765201
456,575,-1.0,10365.889425951342
456,576,-1.0,10382.552455807247
456,577,-1.0,10400.891444101137
456,578,-1.0,10416.256360922855
456,579,-1.0,10420.537811385244
456,580,-1.0,10423.364505994026
456,581,-1.0,10427.299689145797
456,582,-1.0,10427.863162322878
456,583,-1.0,10421.84998757365
456,584,-1.0,10421.189956339023
456,585,0.0,10418.063599352123
456,586,1.0,10413.846607218853
456,587,1.0,10418.59894290063
456,588,1.0,10417.054068502637
456,589,1.0,10413.94010174068
456,590,1.0,10410.507830072276
456,591,0.0,10407.384677723256
456,592,0.0,10407.384677723256
456,593,0.0,10407.384677723256
456,594,1.0,10402.843937102794
456,595,1.0,10395.793906360646
456,596,0.0,10392.675168188738
456,597,0.0,10392.675168188738
456,598,0.0,10392.675168188738
456,599,0.0,10392.675168188738
456,600,0.0,10392.675168188738
456,601,-1.0,10373.960942317419
456,602,-1.0,10356.21099018122
456,603,-1.0,10342.690766980575
456,604,-1.0,10329.24651513624
456,605,-1.0,10324.177382576963
456,606,-1.0,10322.712709885276
456,607,-1.0,10323.548354337763
456,608,-1.0,10322.653909033212
456,609,-1.0,10326.977442240843
456,610,-1.0,10331.250324508588
456,611,-1.0,10336.789980107173
456,612,-1.0,10345.586222152095
456,613,-1.0,10357.861186263393
456,614,-1.0,10357.127998753032
456,615,-1.0,10355.124230845577
456,616,-1.0,10351.961236475821
456,617,-1.0,10346.28539849969
456,618,-1.0,10339.63095792289
